site,code,date,co,nox,no2,no,o3,so2,pm10,pm2.5,ws,wd,air_temp
London N. Kensington,KC1,2018-01-01 00:00:00,0.114872,8.32519,8.11153,0.13935,70.9804,NA,12.425,8.892,5.5,263.3,5.5
London N. Kensington,KC1,2018-01-01 01:00:00,0.111043,8.89934,8.54325,0.23224,67.52118,2.40953,7.375,4.363,5,256.4,5.1
London N. Kensington,KC1,2018-01-01 02:00:00,0.112,9.41967,8.99235,0.27869,69.69982,2.49812,5.625,3.137,4.8,251,4.9
London N. Kensington,KC1,2018-01-01 03:00:00,0.100512,9.36584,8.93852,0.27869,70.4981,2.12606,3.2,1.792,4.8,246.8,4.7
London N. Kensington,KC1,2018-01-01 04:00:00,0.091897,7.21277,6.9457,0.17418,71.74542,2.39181,3.875,2.146,5.3,248.4,4.9
London N. Kensington,KC1,2018-01-01 05:00:00,0.100512,7.64339,7.26948,0.24386,70.4981,2.28551,5.05,2.618,5.3,248,5
London N. Kensington,KC1,2018-01-01 06:00:00,0.103384,10.17324,10.013,0.10451,67.15531,2.23236,9.4,4.575,4.4,245.8,5
London N. Kensington,KC1,2018-01-01 07:00:00,0.09764,12.97223,12.43808,0.34836,65.30928,2.23236,12.4,6.109,3,239.5,4.6
London N. Kensington,KC1,2018-01-01 08:00:00,0.109127,22.71486,21.91363,0.52255,53.38498,2.12606,15.375,7.052,2.6,232.9,4.2
London N. Kensington,KC1,2018-01-01 09:00:00,0.155076,35.47178,33.3886,1.35862,43.50626,2.33866,18.025,8.373,1.6,211.2,3.7
London N. Kensington,KC1,2018-01-01 10:00:00,0.163691,37.78633,35.06217,1.77665,43.40648,2.71072,20.225,9.151,1.6,233.8,5.4
London N. Kensington,KC1,2018-01-01 11:00:00,0.169435,37.84015,34.7955,1.98567,42.25895,2.92333,16.525,7.948,1.1,227.3,5.7
London N. Kensington,KC1,2018-01-01 12:00:00,0.186665,29.81998,27.62997,1.42829,47.8968,2.60442,11.25,6.297,2.2,280.1,6.3
London N. Kensington,KC1,2018-01-01 13:00:00,0.155076,28.0437,25.05246,1.95083,55.63014,2.76387,9.325,5.259,3.6,291.1,7.4
London N. Kensington,KC1,2018-01-01 14:00:00,0.126359,23.14547,20.84863,1.49796,57.57595,2.28551,3.2,1.981,4.1,292.1,6.9
London N. Kensington,KC1,2018-01-01 15:00:00,0.126359,24.27583,21.44484,1.84633,51.83831,2.33866,4.525,2.736,4.4,275.3,5.9
London N. Kensington,KC1,2018-01-01 16:00:00,0.134974,23.03782,22.34342,0.45287,51.73852,1.9666,5.95,3.42,5,268.8,5.4
London N. Kensington,KC1,2018-01-01 17:00:00,0.169435,36.22535,34.83656,0.90574,38.16776,1.70085,6.975,4.175,6.4,284.6,5.8
London N. Kensington,KC1,2018-01-01 18:00:00,0.163691,35.09499,34.08011,0.66189,43.95529,2.01975,8.6,5.307,6.5,285,5.6
London N. Kensington,KC1,2018-01-01 19:00:00,0.106255,12.7031,12.06212,0.41804,63.91229,2.39181,6.325,3.75,6.3,283.5,5.4
London N. Kensington,KC1,2018-01-01 20:00:00,0.09764,9.63497,9.15424,0.31353,68.75187,1.9666,5.525,3.325,7.3,290.4,5.5
London N. Kensington,KC1,2018-01-01 21:00:00,0.089025,7.32043,6.99994,0.20902,70.09896,1.80715,5.1,2.948,7.1,293.9,5.3
London N. Kensington,KC1,2018-01-01 22:00:00,0.089025,10.92681,10.4995,0.27869,65.70842,1.43509,5.775,3.184,6.3,292.5,5.1
London N. Kensington,KC1,2018-01-01 23:00:00,0.077538,8.39696,8.02306,0.24386,67.45466,1.32879,5.925,3.16,5.5,292,4.9
London N. Kensington,KC1,2018-01-02 00:00:00,0.088057,15.51006,15.01074,0.32564,59.73795,1.13387,6.6,3.585,4.5,282.8,4.6
London N. Kensington,KC1,2018-01-02 01:00:00,0.0804,11.63254,11.41855,0.13956,59.47186,0.92127,6.425,3.443,4.3,280.1,4
London N. Kensington,KC1,2018-01-02 02:00:00,0.089014,14.21755,13.84307,0.24423,52.43702,1.22246,6.775,3.774,4.3,279.7,3.6
London N. Kensington,KC1,2018-01-02 03:00:00,0.109113,16.15631,15.83532,0.20934,50.29164,1.16931,10.55,5.259,4.3,279.3,3.4
London N. Kensington,KC1,2018-01-02 04:00:00,0.114855,21.54175,21.06027,0.31401,43.85551,1.06301,11.55,5.943,4,277.4,3.2
London N. Kensington,KC1,2018-01-02 05:00:00,0.114855,19.65685,19.17536,0.31401,43.15701,1.27561,13.375,6.604,3,260.7,2.5
London N. Kensington,KC1,2018-01-02 06:00:00,0.172284,38.77515,36.20725,1.67474,24.19786,0.79725,14.325,7.241,2.8,237.5,1.9
London N. Kensington,KC1,2018-01-02 07:00:00,0.14357,60.4246,47.15711,8.65284,19.15872,1.80711,15.8,8.042,2.4,218.4,1.7
London N. Kensington,KC1,2018-01-02 08:00:00,0.218226,83.47427,63.35904,13.11882,5.73764,2.01971,17.25,8.42,2.1,190.6,2
London N. Kensington,KC1,2018-01-02 09:00:00,0.258426,96.83016,67.19229,19.32932,7.93291,2.07286,20.6,8.939,2.5,188,3.5
London N. Kensington,KC1,2018-01-02 10:00:00,0.232583,79.38134,61.24553,11.82787,9.57936,1.75396,18.3,9.057,2.8,198.6,5.1
London N. Kensington,KC1,2018-01-02 11:00:00,0.238326,78.57353,60.27722,11.93254,16.96345,2.01971,14.05,8.679,4,211.2,6.9
London N. Kensington,KC1,2018-01-02 12:00:00,0.200998,53.47739,44.43623,5.89649,31.98109,2.17916,9.2,6.509,5.6,216.7,8.4
London N. Kensington,KC1,2018-01-02 13:00:00,0.160798,30.37387,27.21749,2.05854,48.34583,1.80711,3.85,2.524,5.9,231.9,9.8
London N. Kensington,KC1,2018-01-02 14:00:00,0.160798,25.90395,23.76403,1.39562,52.18756,1.32876,2.075,1.274,5.7,243.8,10.3
London N. Kensington,KC1,2018-01-02 15:00:00,0.186641,32.36648,30.49405,1.22117,41.11142,1.75396,4.625,2.83,5,243.5,10.3
London N. Kensington,KC1,2018-01-02 16:00:00,0.551308,199.96128,129.45096,45.98563,35.22411,3.61422,15.125,8.561,4.6,240.7,9.6
London N. Kensington,KC1,2018-01-02 17:00:00,0.175155,33.65898,31.84005,1.18628,45.50196,1.59451,26.275,15.118,5.1,234.8,9.3
London N. Kensington,KC1,2018-01-02 18:00:00,0.195255,36.99795,34.96503,1.32584,38.96604,1.96656,32.375,19.08,6.5,231.2,9.7
London N. Kensington,KC1,2018-01-02 19:00:00,0.175155,26.49635,24.83791,1.08161,51.83831,2.28546,27.55,17.217,8,230.5,10.3
London N. Kensington,KC1,2018-01-02 20:00:00,0.149312,15.77933,14.70937,0.69781,63.61294,2.12601,27.05,17.877,8.7,231,11.1
London N. Kensington,KC1,2018-01-02 21:00:00,0.146441,12.22494,11.58297,0.41869,64.5609,2.65751,13.625,9.717,9.5,240.1,11.8
London N. Kensington,KC1,2018-01-02 22:00:00,0.146441,10.44775,9.85927,0.3838,62.06627,2.97641,2.925,2.146,9,245.3,12.1
London N. Kensington,KC1,2018-01-02 23:00:00,0.149312,8.6167,8.13522,0.31401,66.00778,2.55121,2.425,1.462,9.3,252.4,11.9
London N. Kensington,KC1,2018-01-03 00:00:00,0.130153,7.47165,7.11444,0.23296,75.23789,2.48029,6.8,3.538,7.9,268.9,10.5
London N. Kensington,KC1,2018-01-03 01:00:00,0.107184,5.02899,4.81467,0.13978,76.30226,2.62202,13.175,7.311,8.1,266.7,9.4
London N. Kensington,KC1,2018-01-03 02:00:00,0.094744,3.87951,3.6116,0.17472,82.92134,2.33856,8.6,4.599,9.1,269.3,8.8
London N. Kensington,KC1,2018-01-03 03:00:00,0.094744,8.4056,7.65547,0.48923,82.32263,2.8169,8.475,4.363,7.7,271.5,7.6
London N. Kensington,KC1,2018-01-03 04:00:00,0.077517,5.60374,5.28225,0.20967,84.26843,2.65745,16.425,8.679,8,276,6.9
London N. Kensington,KC1,2018-01-03 05:00:00,0.074646,6.84302,6.52154,0.20967,81.57424,2.65745,10.025,5.448,8.2,276.2,6.5
London N. Kensington,KC1,2018-01-03 06:00:00,0.080388,7.86678,7.43813,0.27956,78.13166,2.65745,11.025,6.061,9,278.3,6.8
London N. Kensington,KC1,2018-01-03 07:00:00,0.091873,15.78745,14.5015,0.83867,71.14671,3.0295,11.95,6.297,9.1,277.9,6.6
London N. Kensington,KC1,2018-01-03 08:00:00,0.089002,15.57192,14.66104,0.59406,69.10111,2.60431,13.5,7.288,8.1,282.3,6.6
London N. Kensington,KC1,2018-01-03 09:00:00,0.091873,16.97285,15.52617,0.94351,66.52333,2.12596,12.55,6.698,8.4,284.9,7.4
London N. Kensington,KC1,2018-01-03 10:00:00,0.091873,17.45779,15.47529,1.29295,66.15746,2.12596,16.525,8.491,8.5,284.5,8.1
London N. Kensington,KC1,2018-01-03 11:00:00,0.089002,13.03946,11.43203,1.04834,69.45036,2.17911,19.275,10.377,8.7,282.9,8.5
London N. Kensington,KC1,2018-01-03 12:00:00,0.083259,12.6084,10.67949,1.25801,69.69982,1.96652,20.05,10.92,9.1,282.3,8.6
London N. Kensington,KC1,2018-01-03 13:00:00,0.080388,10.99194,8.63438,1.53756,71.54585,2.07281,19.275,10.755,7.6,280.8,7.6
London N. Kensington,KC1,2018-01-03 14:00:00,0.077517,9.26772,8.41042,0.55911,72.44391,2.07281,19.975,11.156,7.5,280.1,7.4
London N. Kensington,KC1,2018-01-03 15:00:00,0.094744,19.2359,18.00354,0.80373,63.11401,1.86022,25.325,13.137,7.1,276.9,6.7
London N. Kensington,KC1,2018-01-03 16:00:00,0.261263,75.54266,50.68107,16.2143,59.02283,2.55116,26.525,14.528,6.1,273.1,6.3
London N. Kensington,KC1,2018-01-03 17:00:00,0.117711,20.36742,19.51013,0.55911,64.91014,1.96652,26.5,15.024,4.6,261,5.7
London N. Kensington,KC1,2018-01-03 18:00:00,0.11484,17.40391,16.76094,0.41934,68.85165,2.23226,25.95,14.717,4.3,251.8,5.3
London N. Kensington,KC1,2018-01-03 19:00:00,0.109098,19.07425,18.43128,0.41934,65.70842,1.96652,27.45,15.118,4.4,250.6,5.2
London N. Kensington,KC1,2018-01-03 20:00:00,0.123454,21.71447,20.96434,0.48923,61.81681,2.07281,29.625,16.651,4.3,248.6,5.1
London N. Kensington,KC1,2018-01-03 21:00:00,0.134938,22.09165,21.663,0.27956,56.72777,2.17911,28.275,16.085,4.2,249.4,5.1
London N. Kensington,KC1,2018-01-03 22:00:00,0.132067,23.65423,23.33274,0.20967,55.72992,1.80707,31.775,16.722,4,246.4,4.9
London N. Kensington,KC1,2018-01-03 23:00:00,0.126325,25.37845,25.00339,0.24461,56.37853,1.86022,30.225,16.061,3.8,244.9,4.8
London N. Kensington,KC1,2018-01-04 00:00:00,0.099516,18.83248,18.18851,0.41999,60.27014,2.12592,25.475,14.009,3.7,246.2,5.5
London N. Kensington,KC1,2018-01-04 01:00:00,0.084205,9.41624,9.05848,0.23333,74.57266,1.62987,13.775,8.208,3.1,240.5,4.9
London N. Kensington,KC1,2018-01-04 02:00:00,0.080378,7.92473,7.71008,0.14,74.98843,2.07277,9.9,5.825,3.1,239.6,5.4
London N. Kensington,KC1,2018-01-04 03:00:00,0.068895,7.92473,7.76374,0.105,73.94069,2.17906,7.75,4.741,3.4,247.6,6.3
London N. Kensington,KC1,2018-01-04 04:00:00,0.086119,11.0515,10.83685,0.14,65.50885,2.17906,7.35,4.788,2.1,234.2,6.5
London N. Kensington,KC1,2018-01-04 05:00:00,0.111954,22.15691,21.78126,0.24499,51.13981,1.96647,6.625,4.623,1.8,190.3,6.5
London N. Kensington,KC1,2018-01-04 06:00:00,0.166497,44.79901,41.63283,2.06493,34.07658,2.12592,4.6,3.656,2.1,122.7,6.6
London N. Kensington,KC1,2018-01-04 07:00:00,0.22965,85.12351,70.79522,9.34467,13.62065,1.96647,4.175,3.42,2.6,171,6.9
London N. Kensington,KC1,2018-01-04 08:00:00,0.275581,106.47178,73.25375,21.66424,7.23441,3.13573,9.05,3.349,2.9,248.7,7.7
London N. Kensington,KC1,2018-01-04 09:00:00,0.275581,100.05652,64.63826,23.09919,8.08259,2.97628,7.2,3.585,5.5,256.8,10.1
London N. Kensington,KC1,2018-01-04 10:00:00,0.221039,70.35224,49.69159,13.47453,23.00044,2.92313,6.725,3.514,6.3,252,11
London N. Kensington,KC1,2018-01-04 11:00:00,0.132049,31.42939,26.38497,3.28989,49.99229,2.49795,15.275,8.75,7.1,256.9,11.5
London N. Kensington,KC1,2018-01-04 12:00:00,0.094731,18.92233,16.56111,1.53995,62.46541,2.5511,22.775,14.033,7.3,258.4,11.2
London N. Kensington,KC1,2018-01-04 13:00:00,0.09186,17.1433,15.2114,1.25996,68.35273,2.81684,20.2,11.462,7.2,259.4,10.6
London N. Kensington,KC1,2018-01-04 14:00:00,0.086119,16.92767,15.21042,1.11996,71.44606,2.49795,11.4,6.038,6.9,259.3,9.7
London N. Kensington,KC1,2018-01-04 15:00:00,0.083248,16.17293,15.15331,0.66498,70.69767,2.12592,9.1,4.575,7,260.2,8.6
London N. Kensington,KC1,2018-01-04 16:00:00,0.218168,70.99916,35.41991,23.20418,64.61079,2.71054,5.6,2.665,7.3,264.9,7.8
London N. Kensington,KC1,2018-01-04 17:00:00,0.086119,22.15691,21.29829,0.55998,62.5652,1.3287,5.225,2.429,6.8,266.1,7.1
London N. Kensington,KC1,2018-01-04 18:00:00,0.109084,29.21909,28.36047,0.55998,53.33508,1.86018,5.125,2.948,5.2,267.4,6.6
London N. Kensington,KC1,2018-01-04 19:00:00,0.126308,32.07631,31.05669,0.66498,54.48261,1.91333,8.825,4.41,3.6,261.8,5.9
London N. Kensington,KC1,2018-01-04 20:00:00,0.106213,22.37255,21.72858,0.41999,61.91659,2.4448,8.6,4.646,3,246.9,5
London N. Kensington,KC1,2018-01-04 21:00:00,0.126308,25.06804,24.26308,0.52498,54.48261,1.86018,10.125,5.212,3.2,243.2,4.8
London N. Kensington,KC1,2018-01-04 22:00:00,0.143532,25.82278,25.12514,0.45498,56.97724,1.86018,7.75,4.693,2.5,233.2,4.1
London N. Kensington,KC1,2018-01-04 23:00:00,0.132049,26.84706,26.31042,0.34999,58.02498,2.07277,5.5,3.561,2.1,206.6,4
London N. Kensington,KC1,2018-01-05 00:00:00,0.122465,20.99965,20.64134,0.23369,58.47401,1.91328,5.3,3.656,2.9,240.8,4.9
London N. Kensington,KC1,2018-01-05 01:00:00,0.133945,23.87632,23.37468,0.32716,49.75945,1.7007,6.45,4.41,3.4,243.3,4.8
London N. Kensington,KC1,2018-01-05 02:00:00,0.134902,15.58793,15.37294,0.14021,54.83186,2.07272,6.575,4.599,3.5,245.2,4.7
London N. Kensington,KC1,2018-01-05 03:00:00,0.126291,16.66667,16.34419,0.21032,54.83186,1.5944,6.225,3.821,4.1,239.1,4.8
London N. Kensington,KC1,2018-01-05 04:00:00,0.103329,12.08199,11.75951,0.21032,64.01208,1.54125,6.95,3.561,3.8,237.5,5
London N. Kensington,KC1,2018-01-05 05:00:00,0.094718,15.74974,15.37351,0.24537,60.91874,1.80699,8.325,4.104,4.1,235.4,5.2
London N. Kensington,KC1,2018-01-05 06:00:00,0.11194,28.58685,27.7269,0.56085,46.89895,2.3916,11.675,5.66,4.3,233.9,5.4
London N. Kensington,KC1,2018-01-05 07:00:00,0.163604,105.60954,74.00627,20.61112,25.69464,3.24195,16.725,7.83,4.2,229.5,5.2
London N. Kensington,KC1,2018-01-05 08:00:00,0.163604,61.75839,54.93251,4.45172,31.78152,2.12587,17.525,8.726,5.2,233.8,5.6
London N. Kensington,KC1,2018-01-05 09:00:00,0.117681,39.42828,34.96728,2.90939,55.8796,1.96643,6.65,3.325,6.9,238.2,7
London N. Kensington,KC1,2018-01-05 10:00:00,0.117681,38.13378,32.65158,3.5754,55.48046,2.4979,6.475,3.491,7.7,240.8,7.7
London N. Kensington,KC1,2018-01-05 11:00:00,0.109069,27.99354,23.74752,2.76918,65.2095,2.44475,10.75,4.67,7.6,250.7,7.4
London N. Kensington,KC1,2018-01-05 12:00:00,0.189436,72.97738,38.79425,22.29366,65.00993,3.08251,8.025,3.75,6.2,270.8,6.5
London N. Kensington,KC1,2018-01-05 13:00:00,0.083237,21.14348,17.11245,2.62897,69.94929,1.96643,4.3,2.028,4.5,279,6.3
London N. Kensington,KC1,2018-01-05 14:00:00,0.086108,20.33442,17.59332,1.7877,66.25724,1.7007,4.05,1.981,3.5,270.7,5.6
London N. Kensington,KC1,2018-01-05 15:00:00,0.100459,27.18448,24.71211,1.61244,57.67573,1.75384,3.55,1.698,2.2,256.7,4.2
London N. Kensington,KC1,2018-01-05 16:00:00,0.140642,52.37327,46.56859,3.78572,45.95099,1.75384,5.075,2.524,2.1,241.9,2.9
London N. Kensington,KC1,2018-01-05 17:00:00,0.146383,49.46065,47.36451,1.36706,34.87486,1.75384,6.325,3.302,1.8,246.7,2
London N. Kensington,KC1,2018-01-05 18:00:00,0.223879,77.29238,69.71404,4.94246,13.12173,1.80699,8.15,4.599,1.4,252.9,2.4
London N. Kensington,KC1,2018-01-05 19:00:00,0.315728,108.52217,82.2936,17.10583,3.14323,2.3916,12.625,7.83,0.7,236.5,1.7
London N. Kensington,KC1,2018-01-05 20:00:00,0.358781,109.65485,81.2764,18.50794,2.94366,2.65734,19.05,14.222,0.2,160.9,1
London N. Kensington,KC1,2018-01-05 21:00:00,0.433408,123.89434,79.33803,29.05887,2.49463,2.92307,18.775,14.835,0.9,114.9,0.6
London N. Kensington,KC1,2018-01-05 22:00:00,0.536737,149.78432,78.62321,46.41007,2.59441,3.87971,21.3,17.429,0.8,89.5,1
London N. Kensington,KC1,2018-01-05 23:00:00,0.637196,196.33235,76.31516,78.27317,2.6942,4.99579,21.975,17.83,1.5,75.1,1.1
London N. Kensington,KC1,2018-01-06 00:00:00,0.619891,233.92095,81.33058,99.51685,2.46136,4.88939,21.725,17.524,2,37.4,1.7
London N. Kensington,KC1,2018-01-06 01:00:00,0.493617,176.21421,74.65477,66.23534,2.06222,4.03906,17.7,14.717,1.8,38.7,1.7
London N. Kensington,KC1,2018-01-06 02:00:00,0.246809,88.44889,65.14046,15.20136,7.13463,1.80695,11.7,9.175,2.1,27.8,1.7
London N. Kensington,KC1,2018-01-06 03:00:00,0.289857,101.72431,68.45732,21.69617,2.39484,2.28526,14.7,11.627,2.3,27.8,1.2
London N. Kensington,KC1,2018-01-06 04:00:00,0.281247,97.29917,66.07772,20.3621,5.18882,2.28526,14.725,12.146,2.2,27.6,0.7
London N. Kensington,KC1,2018-01-06 05:00:00,0.152103,40.04214,36.70468,2.17664,21.3041,1.48808,17.4,14.245,2.1,32.7,0.7
London N. Kensington,KC1,2018-01-06 06:00:00,0.146363,47.27348,39.95258,4.77456,9.23011,1.70066,22.325,19.222,2.3,31.7,0.5
London N. Kensington,KC1,2018-01-06 07:00:00,0.175062,71.28797,46.90294,15.9035,4.88947,1.70066,23.875,20.684,2.1,29.2,0.2
London N. Kensington,KC1,2018-01-06 08:00:00,0.163583,61.52028,43.54102,11.72576,11.62495,1.64751,20.45,17.618,2.4,31.5,0.4
London N. Kensington,KC1,2018-01-06 09:00:00,0.157842,56.82531,39.92266,11.02362,15.71614,1.91324,17.3,13.962,2.6,36.6,1.1
London N. Kensington,KC1,2018-01-06 10:00:00,0.166453,59.4696,39.39098,13.09494,21.10453,1.80695,18.15,13.844,2.9,35.2,2.1
London N. Kensington,KC1,2018-01-06 11:00:00,0.172192,51.80655,35.92667,10.35659,27.98969,2.07268,15.8,11.91,3.3,41.7,3
London N. Kensington,KC1,2018-01-06 12:00:00,0.186541,50.13363,34.14609,10.4268,28.48862,1.59437,16.15,12.972,3.4,41,3.3
London N. Kensington,KC1,2018-01-06 13:00:00,0.154972,42.14679,30.51949,7.58313,35.274,0.95662,15.125,12.712,4.2,37.5,3.3
London N. Kensington,KC1,2018-01-06 14:00:00,0.157842,44.08953,31.70861,8.07463,31.63185,1.1692,12.2,9.859,3.8,32.6,2.3
London N. Kensington,KC1,2018-01-06 15:00:00,0.169322,41.33731,30.73278,6.91609,24.04819,0.90347,10.775,7.877,4.1,44.4,3.4
London N. Kensington,KC1,2018-01-06 16:00:00,0.160713,36.31855,26.73679,6.24906,24.74668,1.06291,7.225,4.693,4.9,49.6,4
London N. Kensington,KC1,2018-01-06 17:00:00,0.180801,34.5377,25.87105,5.65224,22.85077,1.22235,7.9,5.094,5.6,53.7,4.9
London N. Kensington,KC1,2018-01-06 18:00:00,0.157842,36.15665,27.6515,5.54692,28.03959,1.22235,9.5,5.472,5.7,49.5,4.7
London N. Kensington,KC1,2018-01-06 19:00:00,0.140624,31.51565,24.84072,4.35328,32.48002,1.00977,9.45,5.849,5.6,49.4,4
London N. Kensington,KC1,2018-01-06 20:00:00,0.123404,26.22707,22.13598,2.66814,38.16776,1.00977,10.5,6.321,5.5,50.4,3.9
London N. Kensington,KC1,2018-01-06 21:00:00,0.094705,23.09709,19.86728,2.10642,47.54755,0.74404,11.275,6.486,5.9,45.5,3.4
London N. Kensington,KC1,2018-01-06 22:00:00,0.086096,22.7733,19.59732,2.07132,52.23745,0.69089,13.175,6.91,6.1,47.1,3.4
London N. Kensington,KC1,2018-01-06 23:00:00,0.080357,18.99573,16.41189,1.68514,51.68863,0.69089,14.15,6.934,5.5,48.4,2.9
London N. Kensington,KC1,2018-01-07 00:00:00,0.103302,20.51728,16.92307,2.34408,46.63286,1.20461,12.15,6.25,5,41.5,1.9
London N. Kensington,KC1,2018-01-07 01:00:00,0.084172,11.44649,10.08068,0.89075,53.41824,1.27547,11.325,5.637,5.2,44.7,1.6
London N. Kensington,KC1,2018-01-07 02:00:00,0.071737,8.63886,7.61451,0.66806,56.87745,1.16918,11.15,5.212,5.6,47,1.8
London N. Kensington,KC1,2018-01-07 03:00:00,0.083215,9.12479,8.04653,0.70322,54.78197,1.48804,9.675,4.717,5.6,49.2,1.9
London N. Kensington,KC1,2018-01-07 04:00:00,0.077476,8.04494,7.02059,0.66806,55.8796,0.79717,8.8,4.009,5.5,50.2,1.8
London N. Kensington,KC1,2018-01-07 05:00:00,0.071737,9.50274,7.61578,1.23064,53.73422,0.53144,7.825,3.42,5.7,49.7,1.9
London N. Kensington,KC1,2018-01-07 06:00:00,0.086084,11.77044,9.29044,1.61742,47.74712,1.00974,6.55,3.208,5.6,52.5,2.1
London N. Kensington,KC1,2018-01-07 07:00:00,0.100432,17.06174,13.77304,2.14484,35.47357,0.53144,5.175,2.948,5.4,53.7,2.3
London N. Kensington,KC1,2018-01-07 08:00:00,0.140605,21.8671,17.44623,2.88322,30.08518,0.9566,6.8,3.609,5.6,56.2,2.6
London N. Kensington,KC1,2018-01-07 09:00:00,0.134866,23.91883,16.8023,4.64128,36.27185,1.11603,7.6,4.387,6.2,62.5,3.6
London N. Kensington,KC1,2018-01-07 10:00:00,0.11191,22.29905,14.96686,4.78193,42.35873,1.11603,9.575,4.929,6.4,62.6,4.4
London N. Kensington,KC1,2018-01-07 11:00:00,0.10904,20.67926,14.15577,4.25451,46.5497,1.22232,9.975,4.788,6.8,66.6,4.9
London N. Kensington,KC1,2018-01-07 12:00:00,0.094693,20.84124,13.99427,4.46548,51.38928,1.11603,10.225,5.142,7,67.9,5
London N. Kensington,KC1,2018-01-07 13:00:00,0.088954,18.95149,13.45235,3.58645,52.98584,1.00974,8.65,4.623,6.5,67.1,4.7
London N. Kensington,KC1,2018-01-07 14:00:00,0.077476,19.32944,14.58509,3.09419,56.72777,0.90346,9.925,4.764,5.7,67.4,3.9
London N. Kensington,KC1,2018-01-07 15:00:00,0.088954,22.13707,18.09358,2.63709,53.03573,1.27547,9.6,4.859,5.2,63,2.8
London N. Kensington,KC1,2018-01-07 16:00:00,0.077476,25.43063,21.92628,2.28548,52.83616,0.9566,10.075,5.236,5.4,63.1,2.3
London N. Kensington,KC1,2018-01-07 17:00:00,0.068868,26.18653,22.84392,2.18,54.43272,0.90346,11.3,5.943,5.5,63.9,2
London N. Kensington,KC1,2018-01-07 18:00:00,0.086084,30.34398,26.51615,2.49645,49.54325,1.00974,12.9,6.722,5.5,65.3,1.8
London N. Kensington,KC1,2018-01-07 19:00:00,0.088954,32.4497,28.7297,2.42612,46.89895,1.06289,12.475,7.099,5.5,67.2,1.8
London N. Kensington,KC1,2018-01-07 20:00:00,0.106172,34.93337,30.72815,2.74258,43.70583,1.32861,13.625,7.689,5.4,69.5,1.8
London N. Kensington,KC1,2018-01-07 21:00:00,0.11191,32.39571,28.78353,2.3558,43.65594,1.22232,12.725,6.887,4.9,72.7,1.8
London N. Kensington,KC1,2018-01-07 22:00:00,0.10904,29.53409,26.46104,2.00419,43.15701,1.38176,12.825,6.816,4.6,74.8,1.7
London N. Kensington,KC1,2018-01-07 23:00:00,0.100432,26.99643,24.51642,1.61742,40.36303,1.38176,13.875,6.934,4.6,77,1.8
London N. Kensington,KC1,2018-01-08 00:00:00,0.08416,25.13756,22.54575,1.69034,39.58138,1.62972,13.775,6.91,4.3,73.4,2.1
London N. Kensington,KC1,2018-01-08 01:00:00,0.080334,17.21455,15.91864,0.84517,42.57493,0.99201,13.825,6.58,4.5,76.1,2
London N. Kensington,KC1,2018-01-08 02:00:00,0.086073,15.34183,14.15392,0.77474,43.15701,1.27544,12.925,6.627,4.2,83.1,1.9
London N. Kensington,KC1,2018-01-08 03:00:00,0.080334,14.58555,13.45163,0.73952,42.80777,1.06287,12.55,7.146,5.4,90.8,2.7
London N. Kensington,KC1,2018-01-08 04:00:00,0.074597,13.77524,12.47933,0.84517,44.554,0.95658,13.325,7.712,5.2,94.5,3.2
London N. Kensington,KC1,2018-01-08 05:00:00,0.077466,14.47751,12.31766,1.40862,43.30669,1.11601,11.775,7.476,5,96.9,3.2
London N. Kensington,KC1,2018-01-08 06:00:00,0.094681,21.71626,17.45056,2.78201,35.52346,1.27544,13.65,8.632,4.7,97.8,3.4
London N. Kensington,KC1,2018-01-08 07:00:00,0.123371,43.1084,29.71735,8.73341,20.00689,1.43487,16.525,10.377,4.6,97.5,3.4
London N. Kensington,KC1,2018-01-08 08:00:00,0.186492,61.5294,41.17285,13.2762,11.07614,1.38172,18.275,12.264,4.4,99.2,3.5
London N. Kensington,KC1,2018-01-08 09:00:00,0.154932,55.209,37.01229,11.86758,12.57291,2.01944,19.575,13.019,4.2,98.6,3.8
London N. Kensington,KC1,2018-01-08 10:00:00,0.152063,55.209,37.44426,11.58586,13.22151,2.07259,18.9,12.241,3.6,99.1,4
London N. Kensington,KC1,2018-01-08 11:00:00,0.149193,53.75044,35.06777,12.18452,12.87227,1.64744,18.525,12.665,3.7,100.8,4.1
London N. Kensington,KC1,2018-01-08 12:00:00,0.1578,52.29189,33.8252,12.04366,15.01764,1.91316,19.225,13.491,3.7,100.9,4.3
London N. Kensington,KC1,2018-01-08 13:00:00,0.154932,48.56447,31.44769,11.16327,16.41463,1.54115,19.25,13.679,3.9,92.5,4.3
London N. Kensington,KC1,2018-01-08 14:00:00,0.166408,51.04942,32.58273,12.04366,12.02409,2.07259,19,13.585,3.8,92.3,4.3
London N. Kensington,KC1,2018-01-08 15:00:00,0.195099,62.87992,37.12375,16.79773,10.22796,2.23201,20.55,14.481,4,91.9,4.3
London N. Kensington,KC1,2018-01-08 16:00:00,0.19223,60.23291,35.61066,16.05821,10.42753,2.01944,19.975,14.198,3.7,91.6,4.4
London N. Kensington,KC1,2018-01-08 17:00:00,0.232398,85.35246,41.83156,28.38359,6.6856,2.23201,18.7,14.245,3.5,94.2,4.5
London N. Kensington,KC1,2018-01-08 18:00:00,0.203706,81.03082,38.04988,28.03144,7.83312,2.65716,17.525,14.552,3.5,98.1,4.8
