site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London N. Kensington,KC1,2019-02-13 16:00:00,75.7298964045051,45.387406639358886,19.788856267242597,24.170785550501304,13.62452943378074,1.958466097065614,152.6092075408516,2.8166240695434803
London N. Kensington,KC1,2019-02-13 17:00:00,76.29941991610906,45.7836122147927,19.901891243560485,23.927046007869208,13.828683275764956,1.9450824129843802,151.6379744244936,2.829158209394043
London N. Kensington,KC1,2019-02-13 18:00:00,76.99181706937091,46.12459171835362,20.1310799064119,23.79283204242176,14.049686838004133,1.9429119304177973,150.80484680965776,2.840004723317605
London N. Kensington,KC1,2019-02-13 19:00:00,77.33102476929274,46.40840821480397,20.167205192213594,23.59939219230277,14.340058349237033,1.9439846832315102,150.1048493906491,2.8494938227600293
London N. Kensington,KC1,2019-02-13 20:00:00,78.09717510092753,46.95840407893595,20.308177363127985,23.206949589081376,14.704598530719707,1.9385702283575308,149.49379996332462,2.8579488912407234
London N. Kensington,KC1,2019-02-13 21:00:00,80.12835861089165,47.76995515869967,21.103600931155228,22.583645486994396,15.071649596257677,1.9320189237285113,148.94158497437775,2.8633079316414927
London N. Kensington,KC1,2019-02-13 22:00:00,81.99119593871167,48.597434587934096,21.778843741386428,21.9592091251319,15.473703073887263,1.920942692863364,148.4014646390719,2.8648929675369135
London N. Kensington,KC1,2019-02-13 23:00:00,82.60787398886472,48.98374839954481,21.929083297628726,21.730428347365024,15.853706603942577,1.9093878959507855,147.96149368692224,2.8644951456489465
London N. Kensington,KC1,2019-02-14 00:00:00,82.92874685426679,49.18505291312708,22.00706357375212,21.65734981992573,16.228084961856872,1.9046577023378592,147.6775719292318,2.862603640631984
London N. Kensington,KC1,2019-02-14 01:00:00,83.17601409638799,49.35526134123458,22.057319983801268,21.62528004992245,16.60823377469775,1.900364944810259,147.46983374413347,2.86445451686712
London N. Kensington,KC1,2019-02-14 02:00:00,83.4296367747024,49.53473849858174,22.10567635070423,21.626139448681187,16.98651522039423,1.9013364574612288,147.27771999045967,2.873681202156966
London N. Kensington,KC1,2019-02-14 03:00:00,83.5906386728738,49.6762795160296,22.118368361373577,21.674894456723713,17.33863261506414,1.908426214815405,147.22645399946902,2.893611325751335
London N. Kensington,KC1,2019-02-14 04:00:00,83.7708169874216,49.84420322428965,22.12636057464552,21.7291651159398,17.682154155347142,1.9176351894070114,147.3488073139985,2.9225146945786427
London N. Kensington,KC1,2019-02-14 05:00:00,83.89671542705526,50.01327253401456,22.09820535995969,21.7904149526753,17.97307302335787,1.9276518483251714,147.65050124920887,2.9599579012047994
London N. Kensington,KC1,2019-02-14 06:00:00,84.08715101944773,50.27159877744451,22.053928305509015,21.798465127139504,18.21821234705743,1.930131288451965,148.0373541030105,3.007891120172386
London N. Kensington,KC1,2019-02-14 07:00:00,84.38803239693965,50.56543545258668,22.058522848439356,21.680908592112043,18.44295478513318,1.9352730628358643,148.51395264239633,3.0633108776035574
London N. Kensington,KC1,2019-02-14 08:00:00,85.23304182372945,51.23105084021584,22.175520537672618,21.254093578720113,18.68789255181405,1.9453227280552927,149.05327753474768,3.1210451362076386
London N. Kensington,KC1,2019-02-14 09:00:00,86.25140873887045,51.99154261877863,22.34370239402835,20.745475835313393,18.965192653955196,1.9611364938640106,149.908547496902,3.201304835953824
London N. Kensington,KC1,2019-02-14 10:00:00,87.35665678070814,52.805171679580155,22.53389131862268,20.16098607581339,19.25282019075898,1.9787175680253621,150.86295530324375,3.2916646210525804
London N. Kensington,KC1,2019-02-14 11:00:00,88.02555025231926,53.346728578909165,22.616938056629326,19.809961896275983,19.51390392624866,2.001513758279885,152.12311804224288,3.3949045769326163
London N. Kensington,KC1,2019-02-14 12:00:00,88.53434085126409,53.792045543986646,22.658334491105865,19.488812355816105,19.759028348845675,2.0255363576337597,153.14976420685215,3.4909179846750655
London N. Kensington,KC1,2019-02-14 13:00:00,89.21338109357086,54.443882894329995,22.676075667355263,18.89063708498069,20.058131398007188,2.047105600936924,154.20036876909762,3.590959498817145
London N. Kensington,KC1,2019-02-14 14:00:00,89.50269737358627,54.86868580980441,22.587713541526234,18.49104804518629,20.304770361756287,2.064034859584937,155.15740751345876,3.6910951667471434
London N. Kensington,KC1,2019-02-14 15:00:00,89.72391402016773,55.243390424135335,22.487611378378,18.15176765445316,20.477281826813932,2.082660431866888,156.09271685860392,3.7948340816477977
London N. Kensington,KC1,2019-02-14 16:00:00,89.71012918698108,55.507329313382336,22.306484550200995,17.896321048961155,20.60093127401466,2.1016720596510106,156.9559810321435,3.889922333295729
London N. Kensington,KC1,2019-02-14 17:00:00,89.41254387863545,55.61102969866015,22.04477282645753,17.716577159818293,20.703940104234885,2.1234296017986494,157.8047167070968,3.9853366000961037
