site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Bloomsbury,CLL2,2018-01-01 00:00:00,38.7193709245434,27.59958176786441,7.252141081525983,47.36031806575463,7.497624835055533,4.598855442195526,257.2799056166676,5.378717356725246
London Bloomsbury,CLL2,2018-01-01 01:00:00,38.97658227126623,27.83651177931499,7.265368082418654,47.042127477824344,7.4496533465206065,4.6037980279780735,257.0091386765516,5.412134480881891
London Bloomsbury,CLL2,2018-01-01 02:00:00,39.251381980578614,28.072884811131143,7.290429191032219,46.715825057822386,7.416400867944023,4.621557221960037,256.76260326335387,5.453969533790363
London Bloomsbury,CLL2,2018-01-01 03:00:00,37.98525400090513,27.99745058772171,6.5138789246266,46.40086284501638,7.358787449668042,4.63691906111214,256.53855027186916,5.50238786907447
London Bloomsbury,CLL2,2018-01-01 04:00:00,38.97391885179808,28.512513421529814,6.822754028047928,46.033610210907426,7.30281760758892,4.658490511704062,256.34247212281076,5.554476513441694
London Bloomsbury,CLL2,2018-01-01 05:00:00,39.902890486887685,28.99296658855408,7.115270039388378,45.67642853687531,7.2272503679940545,4.698925060851262,256.2935312241372,5.612289640708305
London Bloomsbury,CLL2,2018-01-01 06:00:00,40.66606132214456,29.396791346486886,7.349629405853819,45.30649920523146,7.159037297641968,4.743610243934762,256.3449272391044,5.672927828658328
London Bloomsbury,CLL2,2018-01-01 07:00:00,41.535942295150726,29.885282489258643,7.598365262943134,44.90869461765012,7.101572602431106,4.7885818628988,256.43641648547816,5.733701696762293
London Bloomsbury,CLL2,2018-01-01 08:00:00,42.51654843618434,30.410548055893084,7.895330587556809,44.485323759901,7.018703704015084,4.8337526826881,256.5337289682217,5.795696347474806
London Bloomsbury,CLL2,2018-01-01 09:00:00,43.6922408382244,31.03106146107516,8.257408790212843,44.088760522261,6.986721808253365,4.880226438487523,256.63381535633465,5.857519238292068
London Bloomsbury,CLL2,2018-01-01 10:00:00,44.88951890903809,31.663361821748975,8.625877516293134,43.68436454706635,6.928155071742209,4.925439944167949,256.7623840746907,5.917882000611247
London Bloomsbury,CLL2,2018-01-01 11:00:00,46.08340459876086,32.31813518769103,8.977477282940649,43.242915801625166,6.907418875631034,4.972981355410925,256.89179753328114,5.977977298557055
London Bloomsbury,CLL2,2018-01-01 12:00:00,47.248810684228474,32.9448737151317,9.328787096404119,42.83233077322732,6.859958940235808,5.022568640435784,257.0108533959003,6.031761351988931
London Bloomsbury,CLL2,2018-01-01 13:00:00,48.471542563190425,33.66083824056196,9.659292045553212,42.25059741178134,6.89538314821772,5.07392484911557,257.14851437845493,6.08796732157691
London Bloomsbury,CLL2,2018-01-01 14:00:00,49.69288783983335,34.389570706765824,9.98056566779482,41.673302380741106,6.9405502414609686,5.123210283910314,257.269478571429,6.1355876678407775
London Bloomsbury,CLL2,2018-01-01 15:00:00,50.85306040019949,35.056953900606864,10.301954377514086,41.15202123811449,6.97683172442302,5.1692712400403815,257.32108564441336,6.174041218985068
London Bloomsbury,CLL2,2018-01-01 16:00:00,51.97887670622131,35.713025200087294,10.60831404185287,40.67930830003799,7.040641880616093,5.2312724969027125,257.46808094727146,6.211162360527744
London Bloomsbury,CLL2,2018-01-01 17:00:00,52.90842573274299,36.19872083827889,10.897787534774306,40.3887805431986,7.04881046955943,5.29584337665552,258.3432750240956,6.249411798581531
London Bloomsbury,CLL2,2018-01-01 18:00:00,53.44268615675606,36.385781121723994,11.12422545161108,40.38013706094459,7.1367508583736665,5.353025023754976,259.76415841877525,6.286289867688618
