site,code,date,nox,no2,no,o3,so2,pm10,pm2.5,v10,v2.5,nv10,nv2.5,ws,wd,air_temp
London Bloomsbury,CLL2,2018-01-01 00:00:00,18.52634,14.63439,2.53827,59.81291,NA,11.4,9,0,1.9,11.4,11.6,5.6,262.7,5.7
London Bloomsbury,CLL2,2018-01-01 01:00:00,20.19538,17.29712,1.8902,53.63033,NA,8.9,7.2,-1.4,1.4,10.3,10.3,5.1,257.7,5.3
London Bloomsbury,CLL2,2018-01-01 02:00:00,20.27883,17.54618,1.78219,54.45707,NA,6.9,6,0.5,4.9,6.4,5.6,4.9,253.6,5.1
London Bloomsbury,CLL2,2018-01-01 03:00:00,18.65152,17.2852,0.89109,57.53039,NA,5.6,1.5,1.6,2.7,4,3.3,4.8,250.4,5
London Bloomsbury,CLL2,2018-01-01 04:00:00,14.33288,12.90445,0.9316,60.8733,NA,1.4,4.9,0.7,6.2,0.7,3.2,5.2,251.3,5.2
London Bloomsbury,CLL2,2018-01-01 05:00:00,10.89049,10.08311,0.52656,62.27516,NA,5.6,4.4,0.8,5.6,4.8,3.3,5.2,250.7,5.3
London Bloomsbury,CLL2,2018-01-01 06:00:00,11.82932,11.08405,0.48605,60.8733,NA,9.7,3.1,0.4,2.9,9.3,4.7,4.3,249.3,5.3
London Bloomsbury,CLL2,2018-01-01 07:00:00,20.21624,18.91203,0.85059,53.6483,NA,9.6,7.6,-0.4,5.2,10,6.9,2.7,242,4.7
London Bloomsbury,CLL2,2018-01-01 08:00:00,27.35139,25.55033,1.17462,45.88413,NA,15.1,5.2,0.8,2.8,14.3,6.9,2.3,225.4,3.8
London Bloomsbury,CLL2,2018-01-01 09:00:00,37.5534,32.77126,3.11883,41.46286,NA,19.3,7.4,1.3,3.2,18,8.7,2.1,195.2,4
London Bloomsbury,CLL2,2018-01-01 10:00:00,50.57191,42.8708,5.02253,32.29682,NA,19.9,7.5,0.9,1.8,19,10.2,1.5,220,5.1
London Bloomsbury,CLL2,2018-01-01 11:00:00,37.92893,33.33311,2.99732,39.52181,NA,10.8,8.9,-3.2,3.9,14,9.5,1.1,229.6,5.6
London Bloomsbury,CLL2,2018-01-01 12:00:00,45.18925,35.12813,6.56169,38.2817,NA,9.6,7.6,0.1,3.5,9.5,8.6,1.9,265.8,6.5
London Bloomsbury,CLL2,2018-01-01 13:00:00,118.41837,67.30541,33.33501,25.07182,NA,9.8,6.4,-0.7,2.3,10.5,8.6,3.3,279.9,7.3
London Bloomsbury,CLL2,2018-01-01 14:00:00,143.14103,78.48903,42.16494,23.61604,NA,5.9,4.8,0.3,2.8,5.6,6.5,3.6,288.1,7
London Bloomsbury,CLL2,2018-01-01 15:00:00,127.74413,72.90483,35.76526,22.21417,NA,5.2,4.2,-1.1,2.8,6.3,5.9,4.5,280.2,5.9
London Bloomsbury,CLL2,2018-01-01 16:00:00,157.97462,82.76465,49.05066,13.42556,NA,7.3,4.1,-1.5,1.5,8.8,7.1,5.1,268.8,5.7
London Bloomsbury,CLL2,2018-01-01 17:00:00,74.23055,51.31355,14.94607,25.07182,NA,9.6,6.4,-1.2,1.2,10.8,9.7,5.8,278.9,5.7
London Bloomsbury,CLL2,2018-01-01 18:00:00,74.73126,54.4227,13.24489,21.56716,NA,11.5,7,-1,0.7,12.5,10.8,6.2,285.4,5.7
London Bloomsbury,CLL2,2018-01-01 19:00:00,124.5521,69.89911,35.64375,23.02294,NA,7.5,7.7,-3.3,2.4,10.8,9.8,6,280.9,5.4
London Bloomsbury,CLL2,2018-01-01 20:00:00,114.53786,65.90912,31.71484,26.85111,NA,6,5.1,-3,1.8,9,7.8,6.8,285.6,5.5
London Bloomsbury,CLL2,2018-01-01 21:00:00,137.38284,75.09085,40.62578,24.58656,NA,7.5,4.5,-1.6,0.7,9.1,8.3,6.6,290.3,5.4
London Bloomsbury,CLL2,2018-01-01 22:00:00,133.25197,75.86633,37.42594,22.80727,NA,4.7,3.2,-1.9,0.3,6.6,7.4,6.1,291.2,5.2
London Bloomsbury,CLL2,2018-01-01 23:00:00,121.73559,70.3121,33.53753,24.37089,NA,7.5,4.9,-1.5,1.4,9,8,5.4,291.7,5
London Bloomsbury,CLL2,2018-01-02 00:00:00,55.0647,41.63404,8.75925,41.20891,NA,8,3.9,-0.3,0.9,8.3,7.5,4.5,279.5,4.7
London Bloomsbury,CLL2,2018-01-02 01:00:00,34.42588,26.79859,4.97439,48.32878,NA,3.3,5.8,0.6,2,2.7,8.3,4.2,277.9,4.1
London Bloomsbury,CLL2,2018-01-02 02:00:00,19.99124,16.82012,2.06816,48.16696,NA,NA,3.1,NA,1.9,NA,5.7,4.4,279,3.7
London Bloomsbury,CLL2,2018-01-02 03:00:00,30.51955,23.5555,4.54183,42.50343,NA,8.7,4.7,1.1,1.3,7.6,7.9,3.9,279.1,3.4
London Bloomsbury,CLL2,2018-01-02 04:00:00,26.6341,21.53543,3.32527,41.80223,NA,4.8,6.7,-3.6,4.6,8.4,6.6,3.5,272.2,3.1
London Bloomsbury,CLL2,2018-01-02 05:00:00,28.51416,24.78342,2.43313,35.86901,NA,13.6,4.6,-1.3,1.5,14.9,7.6,3.1,258.2,2.6
London Bloomsbury,CLL2,2018-01-02 06:00:00,35.53303,32.051,2.27092,26.96918,NA,13.2,7.7,-1,4.5,14.2,7.7,3.1,246.5,2.7
London Bloomsbury,CLL2,2018-01-02 07:00:00,57.09098,47.51542,6.24502,14.50942,NA,15.2,8.9,-0.7,4.1,15.9,9.3,2.7,226.8,2.7
London Bloomsbury,CLL2,2018-01-02 08:00:00,81.9077,60.51813,13.94992,7.55137,NA,22.1,7.8,-0.4,3.1,22.5,9.2,2.4,209.3,3.5
London Bloomsbury,CLL2,2018-01-02 09:00:00,90.24261,62.26206,18.24844,8.14469,NA,55.7,6.7,7.9,1.3,47.8,9.9,2.6,194.8,4.3
London Bloomsbury,CLL2,2018-01-02 10:00:00,87.54786,60.99743,17.31574,10.51798,NA,26.4,10.1,1.3,4,25.1,10.6,3.2,200.9,6.1
London Bloomsbury,CLL2,2018-01-02 11:00:00,83.22374,59.347,15.572,12.40582,NA,14.4,10.1,5.1,5.4,9.3,9.2,4.2,218.5,7.6
London Bloomsbury,CLL2,2018-01-02 12:00:00,61.35244,46.18077,9.89471,23.13956,NA,15.6,9,4.7,8.3,10.9,5.2,5.7,220.3,8.7
London Bloomsbury,CLL2,2018-01-02 13:00:00,36.66106,30.94059,3.73079,39.91439,NA,6.4,8,3.5,4.5,2.9,8,6,232.2,10.1
London Bloomsbury,CLL2,2018-01-02 14:00:00,31.14624,27.53985,2.35202,41.37073,NA,13,6.9,1.3,4.5,11.7,6.9,5.8,244.1,10.6
London Bloomsbury,CLL2,2018-01-02 15:00:00,50.19745,43.10905,4.62294,26.37586,NA,7.3,8.4,-0.4,4.5,7.7,8.4,5,250.4,10.7
London Bloomsbury,CLL2,2018-01-02 16:00:00,52.51619,46.67136,3.8119,23.84076,NA,13.9,8.1,0.5,3.7,13.4,8.9,4.9,244.4,10.3
London Bloomsbury,CLL2,2018-01-02 17:00:00,46.87602,41.52863,3.48748,28.5334,NA,23.3,12.9,-0.5,4.9,23.8,12.5,5.1,240.6,9.8
London Bloomsbury,CLL2,2018-01-02 18:00:00,47.62804,42.7159,3.20362,26.86131,NA,30.6,23.4,1.6,8.1,29,19.8,6.5,238.5,10.3
London Bloomsbury,CLL2,2018-01-02 19:00:00,34.34233,30.36287,2.59533,37.16353,NA,29.5,22.8,1.2,7.5,28.3,19.8,8,237.6,10.6
London Bloomsbury,CLL2,2018-01-02 20:00:00,19.55257,18.06027,0.97325,50.80994,NA,32.7,13,6.2,7,26.5,10.5,8.7,232.1,11.3
London Bloomsbury,CLL2,2018-01-02 21:00:00,14.03774,13.04288,0.64883,54.42381,NA,21.4,6.3,7,6.9,14.4,3.9,9.6,242.5,12.1
London Bloomsbury,CLL2,2018-01-02 22:00:00,11.71901,10.59978,0.72994,52.10446,NA,4.2,3.1,4.1,7.2,0.1,0.4,8.9,247.2,12.3
London Bloomsbury,CLL2,2018-01-02 23:00:00,12.84704,10.2977,1.66264,55.98802,NA,NA,8.7,NA,7.8,NA,5.4,9.4,255.3,12.4
London Bloomsbury,CLL2,2018-01-03 00:00:00,13.4699,10.56479,1.89466,66.47729,NA,5,8.5,-1.6,4.6,6.6,8.4,8.1,271.7,11
London Bloomsbury,CLL2,2018-01-03 01:00:00,9.78868,6.73832,1.9894,68.41981,NA,15.2,1.1,2.9,3.2,12.3,2.4,8.4,270.5,10
London Bloomsbury,CLL2,2018-01-03 02:00:00,12.67509,9.0022,2.3954,72.95235,NA,10.9,3.5,0.8,5,10.1,3,9.2,271.6,9
London Bloomsbury,CLL2,2018-01-03 03:00:00,26.66789,20.13139,4.26299,68.9594,NA,7.4,2.7,-0.4,3.9,7.8,3.3,8.3,269.7,8.1
London Bloomsbury,CLL2,2018-01-03 04:00:00,15.24776,11.1391,2.6796,73.70778,NA,18.5,5.2,-0.6,3.5,19.1,6.2,8,275.9,7.5
London Bloomsbury,CLL2,2018-01-03 05:00:00,28.98956,18.90468,6.57719,65.02041,NA,9.8,4.9,-1.9,2,11.7,7.4,8.1,275.8,6.8
London Bloomsbury,CLL2,2018-01-03 06:00:00,77.24274,49.3537,18.18876,45.10959,NA,12.7,5.3,-1.9,0,14.6,9.8,9,277.5,6.9
London Bloomsbury,CLL2,2018-01-03 07:00:00,69.96398,44.62728,16.52417,46.08085,NA,15.6,3.8,0,0.7,15.6,7.6,9,276.5,6.8
London Bloomsbury,CLL2,2018-01-03 08:00:00,110.87565,64.24866,30.40934,29.8932,NA,21.6,10,0,1.5,21.6,13,7.9,281.6,6.8
London Bloomsbury,CLL2,2018-01-03 09:00:00,94.68668,58.51807,23.58855,34.15595,NA,15.6,7,-3.8,0.5,19.4,11,8.2,284.2,7.6
London Bloomsbury,CLL2,2018-01-03 10:00:00,79.37618,47.44073,20.82776,37.93307,NA,17.7,11.3,-2.9,1.7,20.6,14.1,8.5,285.4,8.4
London Bloomsbury,CLL2,2018-01-03 11:00:00,87.72166,52.23782,23.14195,37.87911,NA,25.5,10.7,-0.7,2.4,26.2,12.8,8.5,284.3,8.9
London Bloomsbury,CLL2,2018-01-03 12:00:00,95.56515,55.03888,26.43055,35.88263,NA,28.2,12.4,-0.1,2.1,28.3,14.8,9.1,281.9,8.9
London Bloomsbury,CLL2,2018-01-03 13:00:00,93.9337,55.46176,25.09075,35.77471,NA,NA,9.9,NA,2.9,NA,11.5,7.7,277.9,8.1
London Bloomsbury,CLL2,2018-01-03 14:00:00,95.56515,56.90645,25.21255,36.20638,NA,31.7,8.9,4.8,1.2,26.9,12.2,6.8,277.6,7.5
London Bloomsbury,CLL2,2018-01-03 15:00:00,NA,NA,NA,35.07325,NA,34.6,11.1,2.8,1.7,31.8,13.9,7.1,277.4,7
London Bloomsbury,CLL2,2018-01-03 16:00:00,52.95928,38.68275,9.31091,39.22808,NA,26.1,11.3,-5.2,2,31.3,13.8,6.7,276.7,6.7
London Bloomsbury,CLL2,2018-01-03 17:00:00,57.10065,41.35081,10.27178,38.52661,NA,27.9,13.3,-4.3,2.6,32.2,15.2,5.2,265.9,6.2
London Bloomsbury,CLL2,2018-01-03 18:00:00,70.46597,47.74386,14.81897,39.71371,NA,31.3,13.2,6.7,2.6,24.6,15.1,4.8,258.1,5.9
London Bloomsbury,CLL2,2018-01-03 19:00:00,61.99499,41.07821,13.64157,42.30373,NA,33.9,12.8,4.2,3.4,29.7,13.9,4.7,254.7,5.8
London Bloomsbury,CLL2,2018-01-03 20:00:00,52.39455,37.8275,9.50038,44.94772,NA,32,15.4,0.1,3.8,31.9,16.1,4.6,253.9,5.6
London Bloomsbury,CLL2,2018-01-03 21:00:00,34.82512,29.34692,3.57279,43.43687,NA,34.6,11.8,3,1.4,31.6,14.9,4.4,253.3,5.5
London Bloomsbury,CLL2,2018-01-03 22:00:00,30.30727,27.1324,2.0706,44.73188,NA,22.4,14.4,0.9,2.3,21.5,16.6,4.4,250.5,5.5
London Bloomsbury,CLL2,2018-01-03 23:00:00,27.48361,23.81072,2.3954,48.61692,NA,35,11.8,3.1,1.9,31.9,14.4,4.1,249.8,5.4
London Bloomsbury,CLL2,2018-01-04 00:00:00,26.51333,24.43668,1.35435,47.14194,NA,25.4,14.4,2.3,5.3,23.1,13.6,3.8,250,5.8
London Bloomsbury,CLL2,2018-01-04 01:00:00,18.23314,15.24277,1.95027,62.54404,NA,13,8,0.8,5,12.2,7.5,3.5,247.8,5.5
London Bloomsbury,CLL2,2018-01-04 02:00:00,14.17668,11.68471,1.62522,64.50529,NA,13,7.2,4.3,4.7,8.7,7,3.5,248.4,6.1
London Bloomsbury,CLL2,2018-01-04 03:00:00,14.80397,14.05638,0.48757,62.29214,NA,8.5,7.9,3.2,6.7,5.3,5.7,3.6,253.5,6.8
London Bloomsbury,CLL2,2018-01-04 04:00:00,13.23576,12.42586,0.5282,60.51082,NA,4.8,5.6,-1.2,4.2,6,5.9,2.1,245.2,6.9
London Bloomsbury,CLL2,2018-01-04 05:00:00,25.1542,24.03282,0.73135,47.33986,NA,3.5,10.1,0.8,8,2.7,6.6,1.6,183,6.8
London Bloomsbury,CLL2,2018-01-04 06:00:00,54.82487,47.41125,4.83504,24.66855,NA,4.7,3.6,2.5,5.3,2.2,2.8,1.9,130.9,6.9
London Bloomsbury,CLL2,2018-01-04 07:00:00,93.96758,64.93607,18.93386,8.04292,NA,5.6,9.2,0.9,8.5,4.7,5.2,2.6,170,7.4
London Bloomsbury,CLL2,2018-01-04 08:00:00,118.74541,69.52891,32.09817,2.42907,NA,8.1,10.6,1.3,4,6.8,11.1,4.9,265.2,9.5
London Bloomsbury,CLL2,2018-01-04 09:00:00,111.02978,64.99055,30.02601,4.31835,NA,7,13.2,-1,6.3,8,11.4,5.9,258.8,10.7
London Bloomsbury,CLL2,2018-01-04 10:00:00,74.58441,51.28445,15.19584,14.57442,NA,8.3,7.7,-0.2,6.8,8.5,5.4,6.8,257.3,11.5
London Bloomsbury,CLL2,2018-01-04 11:00:00,45.9174,35.32651,6.9072,34.11493,NA,17.2,7.6,2.8,3.7,14.4,8.4,7.7,261.1,12
London Bloomsbury,CLL2,2018-01-04 12:00:00,45.54103,34.32714,7.31351,43.45335,NA,28.2,15.3,2.5,7.2,25.7,12.6,7.7,263.1,11.7
London Bloomsbury,CLL2,2018-01-04 13:00:00,63.60689,42.23821,13.93629,46.42222,NA,35.1,14,6.2,4.8,28.9,13.7,7.6,263,11
London Bloomsbury,CLL2,2018-01-04 14:00:00,50.81024,34.9862,10.32017,57.91981,NA,12.4,3.3,0.1,1.7,12.3,6.1,7.4,261.1,10
London Bloomsbury,CLL2,2018-01-04 15:00:00,59.4668,41.15078,11.94539,51.01046,NA,15.8,6.9,-1,3.5,16.8,7.9,7.5,260.8,8.9
London Bloomsbury,CLL2,2018-01-04 16:00:00,85.87558,55.66038,19.70584,37.89348,NA,11.8,2.4,1.1,0.5,10.7,6.4,7.5,265.7,8.3
London Bloomsbury,CLL2,2018-01-04 17:00:00,101.24411,66.66796,22.54998,33.4132,NA,6.6,1.6,-1.4,1.6,8,4.5,7,268.8,7.6
London Bloomsbury,CLL2,2018-01-04 18:00:00,79.91635,57.05248,14.91143,35.68033,NA,6.3,3.2,0.8,2.7,5.5,5,5.3,270.2,7
London Bloomsbury,CLL2,2018-01-04 19:00:00,59.78044,50.49784,6.05396,36.38206,NA,14.8,2.1,0.9,-0.8,13.9,7.4,4.1,264.3,6.4
London Bloomsbury,CLL2,2018-01-04 20:00:00,45.98013,39.68789,4.10369,46.42222,NA,7.9,6.7,-0.1,4.1,8,7.1,3.9,255.9,5.8
London Bloomsbury,CLL2,2018-01-04 21:00:00,40.46001,37.03354,2.23468,46.09834,NA,11.7,1.3,0.4,1.3,11.3,4.5,3.7,252,5.5
London Bloomsbury,CLL2,2018-01-04 22:00:00,41.33821,36.47886,3.16919,50.68658,NA,11.7,6.5,4.5,6.1,7.2,4.9,2.7,237.5,4.8
London Bloomsbury,CLL2,2018-01-04 23:00:00,43.15734,40.04237,2.03153,48.58139,NA,11.5,3.9,6.2,4.5,5.3,3.9,2.1,200.9,4.2
London Bloomsbury,CLL2,2018-01-05 00:00:00,43.56214,40.07074,2.27703,45.71983,NA,5.2,2.8,-1.4,2.1,6.6,5.2,3.2,245.2,5.4
London Bloomsbury,CLL2,2018-01-05 01:00:00,35.70256,32.79306,1.89753,45.50383,NA,8.7,4.4,0.4,2.1,8.3,6.8,3.9,249.5,5.5
London Bloomsbury,CLL2,2018-01-05 02:00:00,31.66826,27.86512,2.48034,47.30382,NA,6.6,4.6,-0.3,1.9,6.9,7.2,4.1,252.9,5.6
London Bloomsbury,CLL2,2018-01-05 03:00:00,31.79367,29.11278,1.74843,49.13981,NA,10.9,2.7,4.1,2.7,6.8,4.5,4.3,246.2,5.6
London Bloomsbury,CLL2,2018-01-05 04:00:00,23.57874,21.27192,1.50447,60.04777,NA,9.7,3.4,2.9,3.9,6.8,4,4,242.9,5.7
London Bloomsbury,CLL2,2018-01-05 05:00:00,27.90569,25.66122,1.46381,55.61979,NA,3,2.6,-4.9,2.7,7.9,4.4,4,239.1,5.7
London Bloomsbury,CLL2,2018-01-05 06:00:00,40.51028,37.58,1.91108,44.65783,NA,4,5.9,-0.3,4,4.3,6.4,4,236.7,5.7
London Bloomsbury,CLL2,2018-01-05 07:00:00,75.75297,65.46582,6.70911,22.24792,NA,21,6.6,1.9,3.1,19.1,8,4,233.9,5.6
London Bloomsbury,CLL2,2018-01-05 08:00:00,75.81568,64.40629,7.44101,24.02991,NA,22.2,6.4,1.9,2.4,20.3,8.5,4.7,238.2,6
London Bloomsbury,CLL2,2018-01-05 09:00:00,58.69601,49.28171,6.13985,42.44384,NA,14.1,4.7,1.8,3.2,12.3,6,6.2,245,7.4
London Bloomsbury,CLL2,2018-01-05 10:00:00,56.25035,47.39716,5.7739,43.03784,NA,15.4,2.5,7.2,1.4,8.2,5.6,7.6,244.4,8.1
London Bloomsbury,CLL2,2018-01-05 11:00:00,44.46098,36.79237,5.00134,53.6758,NA,0.3,7.3,-3.6,3.4,3.9,8.4,7.5,250.8,8.1
London Bloomsbury,CLL2,2018-01-05 12:00:00,46.65581,36.68038,6.5058,55.29579,NA,2.3,7,-6.6,3.4,8.9,8.1,6.8,265.6,7.5
London Bloomsbury,CLL2,2018-01-05 13:00:00,48.97605,37.19258,7.68498,53.1898,NA,2.1,3.2,-4.6,1.8,6.7,5.9,4.9,275.6,6.7
London Bloomsbury,CLL2,2018-01-05 14:00:00,42.6424,34.16329,5.52993,54.97179,NA,8.4,4.5,-0.2,2.8,8.6,6.2,3.5,270.4,6.1
London Bloomsbury,CLL2,2018-01-05 15:00:00,53.11487,42.70303,6.79043,47.08782,NA,1.3,1.8,-1.9,0.6,3.2,5.7,2.3,257,4.6
London Bloomsbury,CLL2,2018-01-05 16:00:00,97.51314,67.52452,19.55807,31.53588,NA,5.7,4.5,-3.3,2.4,9,6.6,2.1,242,3.3
London Bloomsbury,CLL2,2018-01-05 17:00:00,93.68787,71.36785,14.55673,22.40992,NA,10.4,4.5,0.4,2.5,10,6.5,1.8,228,2.3
London Bloomsbury,CLL2,2018-01-05 18:00:00,111.49734,82.63096,18.82617,11.28596,NA,12.6,5.7,-0.9,1,13.5,9.2,1.6,213.8,2.6
London Bloomsbury,CLL2,2018-01-05 19:00:00,105.47724,81.41152,15.69525,6.69598,NA,16.5,7.4,-1.7,1.7,18.2,10.2,0.9,209.5,1.8
London Bloomsbury,CLL2,2018-01-05 20:00:00,115.13449,83.40017,20.69659,5.29198,NA,16.3,12.7,-0.6,2.1,16.9,15.1,0.8,218.2,2.2
London Bloomsbury,CLL2,2018-01-05 21:00:00,120.46479,85.05203,23.0956,3.50999,NA,14.7,12.9,-1,1.5,15.7,15.9,0.3,127.7,1.9
London Bloomsbury,CLL2,2018-01-05 22:00:00,125.73238,86.01772,25.90123,0.918,NA,16,15,-1.5,2,17.5,17.5,0.4,87.5,1.3
London Bloomsbury,CLL2,2018-01-05 23:00:00,175.64907,92.7907,54.03882,1.08,NA,25.5,20.2,0.1,3.4,25.4,21.3,0.9,99.7,1
London Bloomsbury,CLL2,2018-01-06 00:00:00,247.24991,97.00651,97.98619,1.44054,NA,32.8,24.8,1.8,4.6,31,24.7,1.4,74.8,2.2
London Bloomsbury,CLL2,2018-01-06 01:00:00,260.87457,96.82142,106.99268,1.22446,NA,32.4,25.6,0.4,3.9,32,26.2,1.6,50.7,2
London Bloomsbury,CLL2,2018-01-06 02:00:00,261.85672,92.95768,110.15308,1.08041,NA,31.4,25.3,0.9,5,30.5,24.8,1.7,51.4,2
London Bloomsbury,CLL2,2018-01-06 03:00:00,236.59259,86.53637,97.86412,0.75628,NA,29.8,23,3.4,5.8,26.4,21.7,2.2,33.2,1.3
London Bloomsbury,CLL2,2018-01-06 04:00:00,179.04304,77.15456,66.44994,0.43216,NA,28.7,20.8,2.6,4.7,26.1,20.6,1.8,38.3,1
London Bloomsbury,CLL2,2018-01-06 05:00:00,115.22448,68.05504,30.76311,0.64824,NA,24.2,20.7,-0.4,5.1,24.6,20.1,1.7,38.6,0.8
London Bloomsbury,CLL2,2018-01-06 06:00:00,94.97556,56.5412,25.06624,1.02639,NA,27.4,21.8,3.9,5,23.5,21.3,1.7,39.5,0.2
London Bloomsbury,CLL2,2018-01-06 07:00:00,106.32248,52.16497,35.32061,0.32412,NA,34.2,27.1,4.7,7.6,29.5,24,1.6,31,-0.2
London Bloomsbury,CLL2,2018-01-06 08:00:00,128.38941,55.13951,47.77234,1.56659,NA,25.2,25.5,-1.5,6.5,26.7,23.5,1.7,26.3,-0.3
London Bloomsbury,CLL2,2018-01-06 09:00:00,121.05466,55.47916,42.76723,2.48493,NA,25.2,26,4.5,10.4,20.7,20.1,2,34.3,0.6
London Bloomsbury,CLL2,2018-01-06 10:00:00,127.44906,58.31712,45.08667,4.91584,NA,28.5,23.2,8.9,6.6,19.6,21.1,2.4,36.8,2
London Bloomsbury,CLL2,2018-01-06 11:00:00,128.4521,59.69453,44.84252,6.64449,NA,27.7,22.4,5.4,6.3,22.3,20.6,2.6,44.8,3
London Bloomsbury,CLL2,2018-01-06 12:00:00,128.51479,60.50594,44.35422,7.02264,NA,24.1,22.1,1.4,6.5,22.7,20.1,2.7,47.5,3.8
London Bloomsbury,CLL2,2018-01-06 13:00:00,104.56715,56.83617,31.12934,12.80281,NA,25.7,17.1,5.2,5.8,20.5,15.8,3.2,43,3.8
London Bloomsbury,CLL2,2018-01-06 14:00:00,105.25675,59.02321,30.15273,10.69601,NA,23.7,15.8,2.3,6.4,21.4,13.9,3.1,31.1,2.8
London Bloomsbury,CLL2,2018-01-06 15:00:00,98.98773,54.50121,29.01335,6.96862,NA,15.2,11.9,-1,3.5,16.2,12.9,3.1,45.2,3.5
London Bloomsbury,CLL2,2018-01-06 16:00:00,77.35963,44.72787,21.28189,11.23622,NA,20.9,8.9,2.1,4.1,18.8,9.3,3.4,47.2,3.3
London Bloomsbury,CLL2,2018-01-06 17:00:00,78.42537,44.60812,22.05503,10.58797,NA,14.2,7.6,1.1,2.7,13.1,9.4,4.6,51.8,4.7
London Bloomsbury,CLL2,2018-01-06 18:00:00,79.55379,48.0451,20.54943,11.61436,NA,15.9,10.1,1.8,3.7,14.1,10.9,5.2,51.4,5.3
London Bloomsbury,CLL2,2018-01-06 19:00:00,76.35659,47.65561,18.71829,14.42341,NA,14,7.8,1.2,1.9,12.8,10.4,5.2,50.5,4.6
London Bloomsbury,CLL2,2018-01-06 20:00:00,71.8429,46.94792,16.23608,15.01764,NA,16,7.9,-0.9,1.8,16.9,10.6,5.5,52,4.8
London Bloomsbury,CLL2,2018-01-06 21:00:00,72.4698,48.63551,15.54432,20.2576,NA,19.1,7.2,2.7,2,16.4,9.7,5.2,49.6,4.3
London Bloomsbury,CLL2,2018-01-06 22:00:00,67.70535,47.11552,13.42834,25.28149,NA,16.5,7.9,-0.4,1.9,16.9,10.5,5.6,47.8,3.8
London Bloomsbury,CLL2,2018-01-06 23:00:00,66.20079,45.79813,13.30627,25.55159,NA,18.1,8.4,1.3,3.8,16.8,9.1,5,48.3,3.3
London Bloomsbury,CLL2,2018-01-07 00:00:00,61.66813,41.68718,13.03124,24.64258,NA,17.8,6.1,1.8,2.8,16,7.8,4.2,43.3,2.3
London Bloomsbury,CLL2,2018-01-07 01:00:00,51.89148,35.84427,10.46571,28.96584,NA,15.2,4,1.2,1.6,14,6.9,4.5,45.5,1.9
London Bloomsbury,CLL2,2018-01-07 02:00:00,45.74973,32.44991,8.67392,31.72192,NA,14.2,4.7,-0.5,2.7,14.7,6.5,4.8,46.7,2
London Bloomsbury,CLL2,2018-01-07 03:00:00,40.98675,29.12306,7.7373,33.23506,NA,13,6,1.5,4.8,11.5,5.7,4.9,49.9,2.1
London Bloomsbury,CLL2,2018-01-07 04:00:00,38.66792,28.17792,6.8414,34.64012,NA,12.8,4.3,1.7,4.4,11.1,4.4,5,50.2,2.1
London Bloomsbury,CLL2,2018-01-07 05:00:00,35.53438,26.10587,6.14912,34.53204,NA,10.6,2.6,0.6,2.2,10,4.9,5,52.8,2.3
London Bloomsbury,CLL2,2018-01-07 06:00:00,40.8614,29.06015,7.69657,29.56029,NA,5.7,3,-1.8,1.2,7.5,6.3,4.8,53.4,2.5
London Bloomsbury,CLL2,2018-01-07 07:00:00,45.43638,29.13941,10.6286,24.04813,NA,6.3,3.8,-1.4,2.4,7.7,5.9,4.8,54.6,2.7
London Bloomsbury,CLL2,2018-01-07 08:00:00,47.69253,27.77402,12.99052,21.18397,NA,9.5,2.5,-0.1,1.2,9.6,5.8,5.1,59,3
London Bloomsbury,CLL2,2018-01-07 09:00:00,51.95415,29.47558,14.66014,25.29107,NA,11.2,5,-0.9,2.3,12.1,7.2,6,63.8,4.2
London Bloomsbury,CLL2,2018-01-07 10:00:00,53.20757,30.35435,14.90448,28.85776,NA,15.8,5,0.7,2.4,15.1,7.1,6.1,61.8,4.9
London Bloomsbury,CLL2,2018-01-07 11:00:00,55.2757,32.54737,14.82303,31.07343,NA,14,6.4,-0.2,3.7,14.2,7.2,6.7,66.9,5.5
London Bloomsbury,CLL2,2018-01-07 12:00:00,47.88054,29.71036,11.85028,38.26085,NA,14.1,2.8,1.5,2.7,12.6,4.6,6.7,66.8,5.5
London Bloomsbury,CLL2,2018-01-07 13:00:00,45.1857,30.01266,9.8956,39.61187,NA,12.4,6.3,1.7,4.9,10.7,5.9,6.4,67.7,5
London Bloomsbury,CLL2,2018-01-07 14:00:00,46.43911,30.95387,10.09921,42.47603,NA,14.3,6.8,0.7,4.7,13.6,6.6,5.6,67.3,4.2
London Bloomsbury,CLL2,2018-01-07 15:00:00,49.32197,34.27382,9.81415,39.07146,NA,15.1,7,1.5,2.9,13.6,8.6,5.1,63.1,3.1
London Bloomsbury,CLL2,2018-01-07 16:00:00,53.14489,37.65966,10.09921,39.23358,NA,14.3,6.8,0.5,3.7,13.8,7.6,5.2,63.5,2.7
London Bloomsbury,CLL2,2018-01-07 17:00:00,58.09589,40.55012,11.44306,38.96338,NA,15,6.4,0.9,3,14.1,7.9,5.2,64.4,2.4
London Bloomsbury,CLL2,2018-01-07 18:00:00,57.71987,41.1107,10.83222,37.72044,NA,17.7,5,1.7,2.1,16,7.4,5.2,65.8,2.4
London Bloomsbury,CLL2,2018-01-07 19:00:00,57.59453,42.67125,9.73271,34.36992,NA,18.7,7.1,0.9,1.6,17.8,10,5,69.1,2.4
London Bloomsbury,CLL2,2018-01-07 20:00:00,65.42838,45.88451,12.74618,31.01939,NA,19.2,9.6,1.1,2.8,18.1,11.3,4.7,72.7,2.5
