site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Harlington,HRL,2018-01-01 00:00:00,25.652376338255845,17.162653613252342,5.536853369258036,58.31916163576523,4.6698572055293415,6.536289952382761,254.6820241580983,4.977652411497133
London Harlington,HRL,2018-01-01 01:00:00,26.603728642742432,17.83668430122125,5.717717894384103,57.65957454367402,4.672703785322314,6.5548473047734195,254.31280966318943,5.012679064770808
London Harlington,HRL,2018-01-01 02:00:00,27.500739948940492,18.46117815192489,5.895449142063722,57.03837683546616,4.669181965548246,6.579387965625537,254.01442274946416,5.051039621652286
London Harlington,HRL,2018-01-01 03:00:00,28.37969962127064,19.068324465755037,6.072721266768991,56.43579479132033,4.654886719774069,6.636912116184754,253.86124375160014,5.099630902550843
London Harlington,HRL,2018-01-01 04:00:00,29.26684437627315,19.683218553039808,6.2502786089605555,55.8277042432303,4.636542004101068,6.716428647651175,253.90322464796998,5.156423464364908
London Harlington,HRL,2018-01-01 05:00:00,30.121467842214916,20.281592837982128,6.41740001364628,55.230016154237184,4.631621454062873,6.804128166079765,254.1330236346882,5.218312924845712
London Harlington,HRL,2018-01-01 06:00:00,30.955229047924114,20.87278763066447,6.5755977728383135,54.63134076897182,4.637434034204785,6.891998428072861,254.32283813738903,5.283597607555705
London Harlington,HRL,2018-01-01 07:00:00,31.765220762393866,21.447874173144662,6.728798969210084,54.06226919621712,4.629119869433859,6.979782810118335,254.55801876476986,5.349495815256421
London Harlington,HRL,2018-01-01 08:00:00,32.45884496365794,21.917766503575773,6.874713128660236,53.626300821651945,4.614238022964173,7.074365428491191,254.85498992977278,5.419380580289201
London Harlington,HRL,2018-01-01 09:00:00,33.160127238096756,22.4071419808699,7.012915182035935,53.19622477672011,4.610465360906003,7.160623789928866,255.23320877627114,5.490379582591166
London Harlington,HRL,2018-01-01 10:00:00,33.862799909990954,22.909684336993507,7.143436742304878,52.75170819958668,4.609808711308047,7.238931395978717,255.50904771495073,5.557451991074797
London Harlington,HRL,2018-01-01 11:00:00,34.584191552175064,23.424600216716996,7.27809681110844,52.3151559013073,4.6304300637393565,7.312035219245555,255.69462225518805,5.6219115826114505
London Harlington,HRL,2018-01-01 12:00:00,35.27702450629202,23.939711960751687,7.394003699745347,51.84555909888722,4.721324165463871,7.367014985794365,255.63614309250903,5.663562679655778
London Harlington,HRL,2018-01-01 13:00:00,35.44867252326358,24.18098446496356,7.348595810700747,51.40316898858161,4.8448365231987,7.42060000778944,255.6130578172782,5.700790535926273
London Harlington,HRL,2018-01-01 14:00:00,36.05588419844836,24.606355163803972,7.467189443435282,50.987080531795264,4.984569160458356,7.470349905732877,255.58273423450913,5.731512181568999
London Harlington,HRL,2018-01-01 15:00:00,36.63921054274307,25.026390472202852,7.57368513175755,50.63383980677892,5.122685836921278,7.528298882541883,255.47024878074285,5.758598242762261
London Harlington,HRL,2018-01-01 16:00:00,37.03634194709632,25.271109881808545,7.6730856710344355,50.52958419392304,5.2547682325483,7.609039414997534,255.6993929116869,5.78589858035345
London Harlington,HRL,2018-01-01 17:00:00,36.888586851000134,25.270548419765586,7.577088616550158,50.67416947050895,5.389464581718848,7.684244332683188,256.74886552072616,5.813387786074028
London Harlington,HRL,2018-01-01 18:00:00,36.82942322475713,25.202077361806136,7.583158786711729,50.85492883586115,5.537964325095288,7.738544512743103,257.4921136121415,5.837472622588749
London Harlington,HRL,2018-01-01 19:00:00,36.92746730535188,25.189622666592598,7.655224285435583,50.99569646820009,5.687046586905423,7.779288026435604,257.35701547693907,5.847726552824416
London Harlington,HRL,2018-01-01 20:00:00,35.99886363529199,24.839952415292657,7.277653747518687,51.40982764790584,5.817827306772447,7.771672321415441,256.795271182366,5.837003585951719
London Harlington,HRL,2018-01-01 21:00:00,35.55920355189881,24.725609694875246,7.065487355985065,51.61115369149961,5.946863245921296,7.756450735905612,256.37960546032235,5.825006987271938
London Harlington,HRL,2018-01-01 22:00:00,35.659354654040115,24.792210327543476,7.087368440689922,51.69067746808299,6.0585943874808885,7.736698856117218,255.99082795375443,5.810867624612949
London Harlington,HRL,2018-01-01 23:00:00,36.028274945574694,25.054865302864716,7.156672920032124,51.513230103174564,6.093608817683514,7.714089562450153,255.5202920594937,5.798567481818482
London Harlington,HRL,2018-01-02 00:00:00,36.652910886503996,25.493186109373916,7.278184532228582,51.15865552343591,6.116460809437676,7.692565032460779,255.0492207283207,5.795345543980661
London Harlington,HRL,2018-01-02 01:00:00,37.32329089551909,25.96405461398598,7.408302545978524,50.70978598728941,6.182719287753391,7.669811927993844,254.53591543442343,5.801886309853627
London Harlington,HRL,2018-01-02 02:00:00,37.99672055479964,26.44439410644498,7.534232638369967,50.207319753015156,6.29077880916321,7.656798829184479,254.0409972575177,5.822348096664697
London Harlington,HRL,2018-01-02 03:00:00,38.54092280528501,26.81614553226037,7.646702117278291,49.83514540225584,6.412553868068008,7.651689395771929,253.56318545148125,5.8569267174699915
London Harlington,HRL,2018-01-02 04:00:00,39.02453872477701,27.129938998621153,7.7574574577635795,49.54013260350126,6.543181011890621,7.645622578801242,253.08702874005658,5.900975338732635
London Harlington,HRL,2018-01-02 05:00:00,39.40323802729711,27.356637851389753,7.856589612602031,49.32769601235936,6.665611827716206,7.638776236152109,252.62930555806076,5.9525449768680545
London Harlington,HRL,2018-01-02 06:00:00,39.771422847664944,27.580667610055148,7.95060504455613,49.13427972606582,6.7752149979905285,7.632514114290669,252.20308185350137,6.00742073890436
London Harlington,HRL,2018-01-02 07:00:00,40.119260641818336,27.800522075762075,8.034073670642476,48.927497515597345,6.870076135027453,7.653070589249118,251.81674540398527,6.066457358994826
London Harlington,HRL,2018-01-02 08:00:00,40.43371662509237,28.007588998608327,8.104111049089196,48.75367860849173,6.9590488888941415,7.7185146664970095,251.54687266553296,6.133981695881342
