site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Eltham,LON6,2018-01-01 00:00:00,10.387007311741886,7.380368057042856,1.9608812798312822,59.1042285573776,10.931926216499038,4.508551576242806,256.8069227367591,5.348267918332683
London Eltham,LON6,2018-01-01 01:00:00,10.823717321576558,7.652695893677228,2.0680885202606136,58.84366977484755,10.72006085306944,4.498158916860975,256.5003753647363,5.379023949832153
London Eltham,LON6,2018-01-01 02:00:00,11.238689285824771,7.897627205280678,2.178986136109036,58.5795901857023,10.543322339391734,4.5107958039076665,256.21883616570665,5.420728912405756
London Eltham,LON6,2018-01-01 03:00:00,11.546265782782134,8.07074521518004,2.2666775694516357,58.36015591557049,10.361330669401832,4.5244905218674125,255.95705087912688,5.467778758346942
London Eltham,LON6,2018-01-01 04:00:00,11.794164714657287,8.191950054177074,2.3493052485227515,58.183812945575475,10.154809097932814,4.5332848317703665,255.69946998343477,5.517364688264145
London Eltham,LON6,2018-01-01 05:00:00,12.045819349055177,8.328542993938663,2.424346374872628,57.99966680243912,9.973967751365397,4.5578885051284335,255.53413024947628,5.571643355990037
London Eltham,LON6,2018-01-01 06:00:00,12.360197124076999,8.516517916255363,2.50678414662308,57.75438061679895,9.800720346607427,4.589936123611415,255.48222352831172,5.629005401796044
London Eltham,LON6,2018-01-01 07:00:00,12.70178759377379,8.730597615308353,2.589944508749966,57.486411174051604,9.629118807996472,4.624065865006047,255.48304201333528,5.686759751268126
London Eltham,LON6,2018-01-01 08:00:00,13.02990811605828,8.945568229447359,2.6637388977520944,57.23369018017595,9.500100768396596,4.658897044000512,255.5006690843209,5.745989812976322
London Eltham,LON6,2018-01-01 09:00:00,13.394170094415452,9.190910131513297,2.74129647151475,56.971167214241746,9.325105369076102,4.695531701895103,255.52338068861587,5.8053013505322655
London Eltham,LON6,2018-01-01 10:00:00,13.758363826342269,9.440828692001086,2.815824759947701,56.703163354626675,9.142994387360293,4.733783511387281,255.58319243028495,5.8645935778041265
London Eltham,LON6,2018-01-01 11:00:00,13.961823963804783,9.636359944730836,2.820995789394261,56.494845019137514,9.02650153273779,4.7746588092992175,255.64874898146817,5.922578126189071
London Eltham,LON6,2018-01-01 12:00:00,14.333561849206415,9.876885417383138,2.9065701643170905,56.23089139154215,8.916226338712798,4.819066534090388,255.73040912385608,5.976879830745097
London Eltham,LON6,2018-01-01 13:00:00,14.122769142694567,9.82285155750464,2.804334614755999,55.8713238000663,8.858570909767483,4.867819919742154,255.83882230973106,6.0348393096384285
London Eltham,LON6,2018-01-01 14:00:00,14.566729875473905,10.122704347068376,2.898319243728013,55.50688251940723,8.85081418973095,4.914502531508877,255.9289471320849,6.087728483852746
London Eltham,LON6,2018-01-01 15:00:00,14.998289881296081,10.41123606340622,2.991599718092269,55.17078640951278,8.840250790864566,4.9555888874380525,255.9617896905958,6.126342276477222
London Eltham,LON6,2018-01-01 16:00:00,15.409740112090352,10.685340897053084,3.081174027970038,54.903053666751646,8.827135642795893,5.011641391084121,256.06945045294555,6.163683792402265
London Eltham,LON6,2018-01-01 17:00:00,15.702836436489221,10.85281934319921,3.163099762336841,54.801957336762136,8.792693559578765,5.072961367572983,257.1818757738093,6.203404707980739
London Eltham,LON6,2018-01-01 18:00:00,15.638343141223388,10.74738340078089,3.189801862304796,55.008767060728594,8.715003134069393,5.12344370120386,258.8154285781194,6.241716989152013
London Eltham,LON6,2018-01-01 19:00:00,15.424859818608638,10.551069212551887,3.1786044719963713,55.29054215293277,8.715653772036095,5.162576669448594,259.76291324422897,6.2763276243756545
London Eltham,LON6,2018-01-01 20:00:00,15.058594892603956,10.284673635339981,3.1134713682321205,55.62695262035347,8.686178252686133,5.192317725314591,259.5440059352865,6.292061440579011
London Eltham,LON6,2018-01-01 21:00:00,14.810455590083084,10.16483486231232,3.0297958564414365,55.89503123208549,8.73500534563254,5.193104704085136,259.1959668607574,6.286941166305221
London Eltham,LON6,2018-01-01 22:00:00,15.091304303319045,10.35061214533085,3.091799753874449,55.841166862169935,8.716562272277937,5.1803783799332255,258.8753053649558,6.273536102606695
London Eltham,LON6,2018-01-01 23:00:00,15.24399786044546,10.513356525406312,3.0852447225877073,55.62154010781963,8.654162812881442,5.158917709392086,258.53933047510077,6.2575299097647195
London Eltham,LON6,2018-01-02 00:00:00,15.53914556483526,10.754262962808623,3.120619841277355,55.35055257649714,8.56595304466047,5.139125345762505,258.1929005909118,6.25013254646544
London Eltham,LON6,2018-01-02 01:00:00,15.958854583822237,11.0334144334897,3.212289075445736,55.03000144846057,8.475942595654901,5.123446750196084,257.87274234821547,6.255690351123283
